IDENTIFICADOR_DEL_REGISTRO,MUNICIPIO,ENTIDAD
0,AGUASCALIENTES,AGUASCALIENTES
1,AGUASCALIENTES,AGUASCALIENTES
2,AGUASCALIENTES,AGUASCALIENTES
3,AGUASCALIENTES,AGUASCALIENTES
4,AGUASCALIENTES,AGUASCALIENTES
5,AGUASCALIENTES,AGUASCALIENTES
6,AGUASCALIENTES,AGUASCALIENTES
7,AGUASCALIENTES,AGUASCALIENTES
8,AGUASCALIENTES,AGUASCALIENTES
9,JESUS MARIA,AGUASCALIENTES
10,AGUASCALIENTES,AGUASCALIENTES
11,AGUASCALIENTES,AGUASCALIENTES
12,AGUASCALIENTES,AGUASCALIENTES
13,AGUASCALIENTES,AGUASCALIENTES
14,AGUASCALIENTES,AGUASCALIENTES
15,AGUASCALIENTES,AGUASCALIENTES
16,AGUASCALIENTES,AGUASCALIENTES
17,AGUASCALIENTES,AGUASCALIENTES
18,AGUASCALIENTES,AGUASCALIENTES
19,AGUASCALIENTES,AGUASCALIENTES
20,AGUASCALIENTES,AGUASCALIENTES
21,AGUASCALIENTES,AGUASCALIENTES
22,AGUASCALIENTES,AGUASCALIENTES
23,AGUASCALIENTES,AGUASCALIENTES
24,AGUASCALIENTES,AGUASCALIENTES
25,AGUASCALIENTES,AGUASCALIENTES
26,AGUASCALIENTES,AGUASCALIENTES
27,AGUASCALIENTES,AGUASCALIENTES
28,AGUASCALIENTES,AGUASCALIENTES
29,AGUASCALIENTES,AGUASCALIENTES
30,AGUASCALIENTES,AGUASCALIENTES
31,AGUASCALIENTES,AGUASCALIENTES
32,AGUASCALIENTES,AGUASCALIENTES
33,AGUASCALIENTES,AGUASCALIENTES
34,AGUASCALIENTES,AGUASCALIENTES
35,AGUASCALIENTES,AGUASCALIENTES
36,AGUASCALIENTES,AGUASCALIENTES
37,AGUASCALIENTES,AGUASCALIENTES
38,AGUASCALIENTES,AGUASCALIENTES
39,AGUASCALIENTES,AGUASCALIENTES
40,AGUASCALIENTES,AGUASCALIENTES
41,AGUASCALIENTES,AGUASCALIENTES
42,AGUASCALIENTES,AGUASCALIENTES
43,AGUASCALIENTES,AGUASCALIENTES
44,AGUASCALIENTES,AGUASCALIENTES
45,AGUASCALIENTES,AGUASCALIENTES
46,AGUASCALIENTES,AGUASCALIENTES
47,AGUASCALIENTES,AGUASCALIENTES
48,AGUASCALIENTES,AGUASCALIENTES
49,AGUASCALIENTES,AGUASCALIENTES
50,AGUASCALIENTES,AGUASCALIENTES
51,AGUASCALIENTES,AGUASCALIENTES
52,AGUASCALIENTES,AGUASCALIENTES
