IDENTIFICADOR_DEL_REGISTRO,INCUMPLIMIENTO,CLASIFICACION_RESULTADO_PRODUCTO
0,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
1,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
2,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
3,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
4,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
5,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
6,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
9,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
10,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
11,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
12,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
13,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
14,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
15,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
16,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
17,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
18,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
19,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
20,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
21,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
22,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
23,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
24,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
25,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
26,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
27,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
28,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
29,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
30,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
31,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
32,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
33,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
34,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
35,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
36,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
37,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
38,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
39,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
40,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
41,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
42,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
43,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
44,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
45,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
46,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
47,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
48,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
49,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
50,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
51,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
52,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
53,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
54,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
55,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
