RAZON_SOCIAL_VISITADA,GIRO_COMERCIAL,MUNICIPIO,ENTIDAD,ID_RAZON_SOCIAL_VISITADA
     JEANÃ¯S CLUB,ROPA PARA DAMA,QUERETARO,QUERETARO,0
    JOYERIA RUBIO S.A. DE C.V.,JOYERIA,MIGUEL HIDALGO,DISTRITO FEDERAL,1
   MODA CASUAL KARLÃ¯S,UNIFORMES ESCOLARES,MEXICALI,BAJA CALIFORNIA,2
   YORICA DEPORTIVA,MINI SUPER,NAVOJOA,SONORA,3
  AURELIO RIZO LARA Y/O BOTAS LOS COMPADRES,ZAPATERIA,LEON,GUANAJUATO,4
"  REFACCIONARIA AUTOMATRIZ ""DANNY""",REFACCIONARIA AUTOMOTRIZ,VILLAHERMOSA,TABASCO,5
  SUPER WILLYS SA DE CV Y/O SUC. SAMULA,ABARROTERA,CAMPECHE,CAMPECHE,6
" ""BOUTIQUE Y LENCERIA ADABET""",BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,7
" ""DEPORTES OSORIO""",ARTICULOS DEPORTIVOS,IGUALA DE LA INDEPENDENCIA,GUERRERO,8
 * ADRIAN GALINDO LOPEZ Y/O FINEZZA,JOYERIA,TOLUCA,MEXICO,9
 ** TIENDAS SORIANA S.A DE C.V.,TORTILLERIA,MORELIA,MICHOACAN DE OCAMPO,10
 ABARROTERA UNION,ABARROTES,CAJEME,SONORA,11
 ABARROTES  SAN CARLOS,ABARROTES,CAJEME,SONORA,12
" ABARROTES  SUPER "" VELZA""",ABARROTES,CAJEME,SONORA,13
" ABARROTES ""MARTINEZ""",ABARROTES,ZACATECAS,ZACATECAS,14
 ABARROTES GALLAR2  Y/O MARIO RODOLFO GALLARDO HERNANDEZ,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,15
 ABARROTES NAYELI,ABARROTES,REYNOSA,TAMAULIPAS,16
 ABARROTES YENY PROPIEDAD DE YESENIA RUBI PAREDES ACEVES,ABARROTES,VERACRUZ,VERACRUZ,17
 CAFRE BOUTIQUE,PRENDAS DE VESTIR,HERMOSILLO,SONORA,18
 CALVIN KLEIN Y/O  PVH MEXICO  S.A DE C.V.,PRENDAS DE VESTIR,CUAUTITLAN IZCALLI,MEXICO,19
 CARNES Y FRUTAS LOS REYES,ABARROTES,NUEVO LAREDO,TAMAULIPAS,20
 CARNICERIA  LA  HIGIENICA,CARNICERIA,CUAUHTEMOC,DISTRITO FEDERAL,21
 CASSANDRA,PRENDAS DE VESTIR,TAPACHULA,CHIAPAS,22
 CHILIM BALAM  S. DE R.L. DE C.V.,DULCERIA,HUIXQUILUCAN,MEXICO,23
 COMERCIALIZADORA CADER  S.A. DE C.V.,ZAPATERIA,VERACRUZ,VERACRUZ,24
 COPPEL  S.A. DE C.V.,MUEBLERIA,GOMEZ PALACIO,DURANGO,25
 COPPEL SA DE C.V.,TIENDA DEPARTAMENTAL,TAPACHULA,CHIAPAS,26
 DULCERIA KARLA'S,DULCERIA,NUEVO LAREDO,TAMAULIPAS,27
 EL DESVAN EL REY DE LE BOTANA Y/O VINOS Y ALIMENTOS PLATA S.A. DE C.V.,RESTAURANTE,ALVARO OBREGON,DISTRITO FEDERAL,28
 EL MUNDO ISIMART Y/O CARMEN AVENDAÃO LOPEZ,JUGUETERIA,LEON,GUANAJUATO,29
 EL TRAPIO,RESTAURANTE,QUERETARO,QUERETARO,30
 FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,DURANGO,DURANGO,31
 FARMACIAS BENAVIDES,FARMACIA,REYNOSA,TAMAULIPAS,32
 FARMACIAS BENAVIDES,FARMACIA,SALTILLO,COAHUILA DE ZARAGOZA,33
 FARMACIAS GEMS DE DESCUENTO  S.A. DE C.V.,FARMACIA,MORELIA,MICHOACAN DE OCAMPO,34
 FULLSAND Y/O COMERCIAL SPORT S.A. D EC.V.,ROPA DEPORTIVA,MIGUEL HIDALGO,DISTRITO FEDERAL,35
 MINI SUPER GARCIA,MINI SUPER,REYNOSA,TAMAULIPAS,36
 MINI SUPER LA MOLE,ABARROTES,NUEVO LAREDO,TAMAULIPAS,37
 MOTEL CUAJIMALPA S.A. DE C.V.,HOTEL,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,38
 MUEBLERIA VILLARREAL CABALLERO  S.A. DE C.V.,MUEBLERIA,VICTORIA,TAMAULIPAS,39
 MY CANDY,MINI SUPER,CUAUTITLAN IZCALLI,MEXICO,40
 NETO TIENDAS SUPER PRECIO  S.A DE C.V.,ABARROTES,NAUCALPAN DE JUAREZ,MEXICO,41
 OYSHO MEXICO S.A. DE C.V.,ROPA DEPORTIVA,NAUCALPAN DE JUAREZ,MEXICO,42
 PROVEEDORA VANFER S.A. DE  C.V. MERCADO TITO'S,MINI SUPER,MEXICALI,BAJA CALIFORNIA,43
 PULL & BEAR MÂ¿XICO  S.A DE C.V.,ROPA PARA DAMA,HUIXQUILUCAN,MEXICO,44
 QUARRY JEANS FASHION Y/O VICTIMA DE LA MODA S A DE C.V.,PRENDAS DE VESTIR,TLALNEPANTLA DE BAZ,MEXICO,45
 SALLY BEATY  SUPLLY .Y/O COMPANY DE MEXICO S. DE R.L. DE C.V.,ARTICULOS DE BELLEZA,TLALNEPANTLA DE BAZ,MEXICO,46
 SAMS CLUB,LAVADO Y ENGRASADO,JUAREZ,CHIHUAHUA,47
 SANBORN HERMANOS  S.A.  SUCURSAL PARQUE TEZONTLE,RESTAURANTE,IZTAPALAPA,DISTRITO FEDERAL,48
 SUBURBIA S. DE R.L. DE C.V.,TIENDA DEPARTAMENTAL,MORELIA,MICHOACAN DE OCAMPO,49
 SUPER CITY  Y/O ADRIANA DE LA TORRE VERDUSCO,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,50
 SUPER LEY EXPRESS PUEBLO YAQUI,TIENDA DE AUTOSERVICIO,CAJEME,SONORA,51
 SUPER SOYA   NUEVE S.A DE C.V.,COMPLEMENTOS ALIMENTICIOS,TLALNEPANTLA DE BAZ,MEXICO,52
 TIENDAS EXTRA S.A. DE C.V. SUC. 7161 CARRETERA MEXICO-TOLUCA,MINI SUPER,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,53
 TO-BE FASHION ACTION Y/O FASHION PRODUCTS  S. A. DE C. V.,BOUTIQUE,ECATEPEC DE MORELOS,MEXICO,54
 TODO PARA LA BELLEZA  DEL NORTE DEL ESTADO DE MEXICO S.A DE C.V.,TIENDAS DE AUTOSERVICIO,TLALNEPANTLA DE BAZ,MEXICO,55
 TOUS Y/O HERMALO S.A. DE C.V.,JOYERIA,MIGUEL HIDALGO,DISTRITO FEDERAL,56
 VENTA DE VINOS Y LICORES SUPER ABARROTES LA VICTORIA  S.A.,ABARROTES VINOS Y LICORES,IZTAPALAPA,DISTRITO FEDERAL,57
 WALDO'S DOLAR MART DE MEXICO  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,SALTILLO,COAHUILA DE ZARAGOZA,58
 ZAPATERIA BONITO LEON Y/O JOSE OSBALDO MELENDEZ GUEVARA,ZAPATERIA,LEON,GUANAJUATO,59
 ZAPATERIA CALZA CHIPS S.A. DE. C.V.,ZAPATERIA,ATIZAPAN DE ZARAGOZA,MEXICO,60
 ZAPATERIA JUVENA,ZAPATERIA,SAN LUIS POTOSI,SAN LUIS POTOSI,61
 ZAPATERIA MADERO,ZAPATERIA,MEXICALI,BAJA CALIFORNIA,62
""" ROSSY ACCESORIOS """,BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,63
"""ABARROTES  VINO Y LICORES EL MEZCALERO""",VINOS Y LICORES,IGUALA DE LA INDEPENDENCIA,GUERRERO,64
"""ABARROTES Y POLLERIA ROSY""   PROPIEDAD DE ROSA ISELA ALVARADO ORTEGA",ABARROTES,VERACRUZ,VERACRUZ,65
"""BOGA  SHOES""",BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,66
"""BOUTIQUE MIKE""",BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,67
"""BOUTIQUE MIRAY""",BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,68
"""CADENA COMERCIAL OXXO  S.A. DE C.V.""",TIENDAS DE CONVENIENCIA,MANZANILLO,COLIMA,69
"""CADENA COMERCIAL OXXO  S.A. DE C.V.""  (CENTRAL DE ABASTO)",TIENDAS DE CONVENIENCIA,IGUALA DE LA INDEPENDENCIA,GUERRERO,70
"""COQUETA  BISUTERIA Y ACCESORIOS """,BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,71
"""DEPORTES ANA LAURA""",ARTICULOS DEPORTIVOS,IGUALA DE LA INDEPENDENCIA,GUERRERO,72
"""ESTILO BOUTIQUE MODA CASUAL""",BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,73
"""INFANTILES LA CIGÂ¿EÃA""",BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,74
"""JOYERIA PRINCESA""",JOYERIA,IGUALA DE LA INDEPENDENCIA,GUERRERO,75
"""JOYERÃA EL TESORO""",JOYERIA,MANZANILLO,COLIMA,76
"""L. A. FASHION CLOTHES""",ROPA PARA DAMA,MANZANILLO,COLIMA,77
"""LA CONCHA NOSTRA DE TAXCO""",RESTAURANTE,TAXCO DE ALARCON,GUERRERO,78
"""NOVEDADES Y ACCESORIOS MAYAÃ¯S""",BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,79
"""NUEVA WAL MART DE MEXICO S. DE R.L DE C.V.""",TIENDA DEPARTAMENTAL,ZACATECAS,ZACATECAS,80
"""ORO MAX""",JOYERIA,IGUALA DE LA INDEPENDENCIA,GUERRERO,81
"""REGALOS Y NOVEDADES DIANIS""",BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,82
"""RESTAURANT EL CAMPANARIO""",RESTAURANTE,IGUALA DE LA INDEPENDENCIA,GUERRERO,83
"""RESTAURANTE EL MACHI""",RESTAURANTE,IGUALA DE LA INDEPENDENCIA,GUERRERO,84
"""SANBORN HERMANOS S.A.""",TIENDA DEPARTAMENTAL,ZACATECAS,ZACATECAS,85
"""SUPER EL AGUILA""",MINI SUPER,SAN LUIS POTOSI,SAN LUIS POTOSI,86
"""SUPER KIOSKO SA DE CV""",MINI SUPER,MANZANILLO,COLIMA,87
"""USA SHOES""",BOUTIQUE,IGUALA DE LA INDEPENDENCIA,GUERRERO,88
"""ZAPATERIA 3 HNOS""",ZAPATERIA,IGUALA DE LA INDEPENDENCIA,GUERRERO,89
"**   IMPORTACIONES ""EL CHULADA""",JUGUETERIA,MORELIA,MICHOACAN DE OCAMPO,90
** COMERCIAL DPORTENIS  S.A. DE C.V.,ARTICULOS DEPORTIVOS,MORELIA,MICHOACAN DE OCAMPO,91
** FARMACIA GUADALAJARA  S.A. DE C.V.,MUEBLERIA,MORELIA,MICHOACAN DE OCAMPO,92
** FARMACIA SANTA CRUZ DE MORELIA  S.A. DE C.V.,FARMACIA,MORELIA,MICHOACAN DE OCAMPO,93
** JOYERIA MALLOR,JOYERIA,MORELIA,MICHOACAN DE OCAMPO,94
** MINI SUPER  LA CANASTA,ABARROTES,MORELIA,MICHOACAN DE OCAMPO,95
** NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.,TIENDA DEPARTAMENTAL,URUAPAN,MICHOACAN DE OCAMPO,96
** NUEVA WALMART DE MEXICO  S. DE R.L. DE C.V.,TIENDA DE AUTOSERVICIO,ZITACUARO,MICHOACAN DE OCAMPO,97
** NUEVA WALMART DE MEXICO S. DE R.L. DE C.V.,TIENDA DE AUTOSERVICIO,MORELIA,MICHOACAN DE OCAMPO,98
** TIENDAS COMERCIAL MEXICANA  S.A DE C.V.,TIENDA DE AUTOSERVICIO,URUAPAN,MICHOACAN DE OCAMPO,99
** TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.,TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,MORELIA,MICHOACAN DE OCAMPO,100
** TIENDAS EXTRA  S.A. DE C.V.,ABARROTES,MORELIA,MICHOACAN DE OCAMPO,101
**ABARROTERA DEL DUERO  S.A. DE C.V.,ABARROTERA,MORELIA,MICHOACAN DE OCAMPO,102
**ABARROTES DEL DUERO S.A. DE C.V. ,ABARROTES,MORELIA,MICHOACAN DE OCAMPO,103
**ABARROTES LA VIOLETA  S.A. DE C.V.,ABARROTES VINOS Y LICORES,MORELIA,MICHOACAN DE OCAMPO,104
**CADENA COMERCIAL OXXO  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,MORELIA,MICHOACAN DE OCAMPO,105
**CADENA COMERCIAL OXXO S. A. DE C.V.,TIENDA DE AUTOSERVICIO,MORELIA,MICHOACAN DE OCAMPO,106
**CADENA COMERCIAL OXXO S.A.  DE C.V.,TIENDA DE AUTOSERVICIO,MORELIA,MICHOACAN DE OCAMPO,107
**COMERCIAL TACAMBA  S.A. DE C.V.,ABARROTES,MORELIA,MICHOACAN DE OCAMPO,108
**FARMACIA GUADALAJARA,FARMACIA,MORELIA,MICHOACAN DE OCAMPO,109
**FARMACIA GUADALAJARA  S. A. DE C. V.,FARMACIA,MORELIA,MICHOACAN DE OCAMPO,110
**FARMACIA GUADALAJARA  S.A. DE C.V.,FARMACIA,MORELIA,MICHOACAN DE OCAMPO,111
**FARMACIA GUADALAJARA S. A. DE C. V.,FARMACIA,MORELIA,MICHOACAN DE OCAMPO,112
**FARMACIA GUADALAJARA S. A.DE C. .V,FARMACIA,MORELIA,MICHOACAN DE OCAMPO,113
**FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,MORELIA,MICHOACAN DE OCAMPO,114
**FARMACIA GUADALAJARA S.A.DE C.V.,LAVADO Y ENGRASADO,MORELIA,MICHOACAN DE OCAMPO,115
**NUEVA WAL MART DE MEXCIO S. DE R.L. DE C.V.,TIENDA DE AUTOSERVICIO,URUAPAN,MICHOACAN DE OCAMPO,116
**NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V,TIENDA DE AUTOSERVICIO,URUAPAN,MICHOACAN DE OCAMPO,117
**OPERADORA LOB  S.A. DE C.V.,PRENDAS DE VESTIR,MORELIA,MICHOACAN DE OCAMPO,118
**SANBORN HERMANOS  S.A.,TIENDA DEPARTAMENTAL,MORELIA,MICHOACAN DE OCAMPO,119
**SUPER VIOLETA  S.A. DE C.V.,ABARROTES VINOS Y LICORES,MORELIA,MICHOACAN DE OCAMPO,120
**SUPER VIOLETA  S.A. DE C.V.,ABARROTES,MORELIA,MICHOACAN DE OCAMPO,120
**TIENDAS EXTRA  .S.A. DE C.V.,ABARROTES,MORELIA,MICHOACAN DE OCAMPO,121
**TIENDAS EXTRA  S.A. DE C.V.,ABARROTES VINOS Y LICORES,MORELIA,MICHOACAN DE OCAMPO,122
*NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.,TIENDA DE AUTOSERVICIO,IZTACALCO,DISTRITO FEDERAL,123
*ZADKIEL JOYAS Y/O JOSE ANTONIO MARTINEZ GARCIA,JOYERIA,TOLUCA,MEXICO,124
+KOTA,VETERINARIA,GUADALAJARA,JALISCO,125
+KOTA,VETERINARIA,ZAPOPAN,JALISCO,126
+MÂµS ELECTRONICA Y/O OMAR PEÃA SCHCOLNIK,REPARACION DE APARATOS ELECTRICOS,PAZ  LA,BAJA CALIFORNIA SUR,127
1 STAND 10 Y/O TERESA PAMELA RUBIO MORALES,ROPA DEPORTIVA,MIGUEL HIDALGO,DISTRITO FEDERAL,128
100% SUSPENSIONES,REFACCIONARIA AUTOMOTRIZ,QUERETARO,QUERETARO,129
1521 EL PARAISO RESTAURANTE,RESTAURANTE,CUERNAVACA,MORELOS,130
1ST AND 10 Y/O VICTOR SALVADOR RUBIO FIGUEROA,ARTICULOS DEPORTIVOS,GUSTAVO A. MADERO,DISTRITO FEDERAL,131
23 MATAMOROS Y/O JESUS SANCHEZ QUIJANO,ABARROTES,VICTORIA,TAMAULIPAS,132
27 MICRAS INTERNACIONAL  S. A. DE C. V.,ROPA PARA CABALLERO,ECATEPEC DE MORELOS,MEXICO,133
27 MICRAS INTERNACIONAL  S.A. DE C.V. Y/O ALDO CONTI,BOUTIQUE,CUERNAVACA,MORELOS,134
27 MICRAS INTERNACIONAL S.A. DE C.V. Y/O ALDO CONTI,ZAPATERIA,COYOACAN,DISTRITO FEDERAL,135
27 MICRAS INTERNACIONAL S.A. DE C.V. Y/O ALDO CONTI,ROPA PARA CABALLERO,NAUCALPAN DE JUAREZ,MEXICO,136
27 MICRAS INTERNATIONAL  S.A. DE C.V.,ROPA PARA CABALLERO,PACHUCA DE SOTO,HIDALGO,137
3 HERMANOS,ZAPATERIA,APODACA,NUEVO LEON,138
3 HERMANOS,ZAPATERIA,SAN LUIS POTOSI,SAN LUIS POTOSI,139
3 HERMANOS SHOES Y/O TEPIZA  S.A DE C.V.,ZAPATERIA,TEPIC,NAYARIT,140
3E GROUP Y/O UNIVERSAL TECHNOLOGY GROUP  S.A. DE C.V.,PRODUCTOS ELECTRONICOS,CUAUHTEMOC,DISTRITO FEDERAL,141
